name,city,country,my_rating,comment,dates_stayed
Once Again Hostel,Bangkok,Thailand,4.0,Very clean and tidy but quite quiet. Location was good to explore the old town and popular sites.,31/03/25 - 03/04/25
The Yard Hostel ,Bangkok,Thailand,4.0,"Cute hostel, very green and comfy beds. Very social and in a cool neighbourhood. Free yoga was very much harder than anticipated!",03/04/25 - 05/04/25
Island Yoga,Ko Yao Noi,Thailand,5.0,"Stayed in 3 bed female dorms, resort was paradise",05/04/25 - 09/04/25
Mudka Hostel,Ko Yao Noi,Thailand,4.0,"Lovely cute hostel, although quite basic",07/04/25 - 09/04/25
Theppahrak Hostel,Khao Lak,Thailand,3.0,"Average hostel, not social",09/04/25 - 11/04/25
Manta Queen 3,Similan Islands,Thailand,5.0,I had my own room!,11/04/25 - 14/04/25
Raksuan Homestay,Khao Lak,Thailand,5.0,"So peaceful, listened to the rain & chilled.",15/04/25 - 16/04/25
Young Money Hostel,Surat Thani,Thailand,3.0,Was fine ...,16/04/25 - 17/04/25
The lodge Bangkok,Bangkok,Thailand,4.0,"Nice, quite quiet, only two other people there",17/04/25 - 18/04/25
Jahoo Camp,Mondulkiri Province,Cambodia,4.0,"Amazing staff, beautiful nature. Alot of bugs",25/04/25 - 26/04/25
Pida Coffee Farm,Mondulkiri Province,Cambodia,5.0,"So beautiful, room has a balcony with a view over the jungle!",26/04/25 - 28/04/25
Sorya Guesthouse & Dolphin Tours,Kratie,Cambodia,4.0,Restaurant / cafe had a lovely sunset view,28/04/25 - 29/04/25
Pomelo Homestay,Kaoh Trong,Cambodia,4.0,"Very traditional homestay, bucket shower & squat loo but all very beautiful",29/04/25 - 30/04/25
Onederz,Phnom Penh,Cambodia,3.0,"Nice enough, busy pool, laundry done!",30/04/25 - 03/05/25
Twizt Hostel & Hotel ,Siem Reap,Cambodia,4.0,"Nice location, great price. Felt much more like a hotel. Had a rooftop pool/bar. Toilets were far away & I did hear creatures in the ceiling.",19/04/25 - 24/04/25
Manel Guesthouse,Mondulkiri Province,Cambodia,3.0,Lovely owners/family. Basic accom,24/04/25 - 25/04/25
Triple Hostel,Ho Chi Min City,Vietnam,2.0,Nice location & decent bed but not enough toilets,03/05/25 - 05/05/25
May house dalat,Da Lat,Vietnam,3.0,Really nice family but a tad expensive,06/05/25 - 07/05/25
Pisces Hotel,Hue,Vietnam,4.0,Pretty and comfy ,08/05/25 - 10/05/25
Ancient Town Hotel,Hoi An,Vietnam,3.0,Fab location,10/05/25 - 13/05/25
Seaside bungalow hostel ,Hoi An,Vietnam,5.0,I loved the place and the people,13/05/25 - 16/05/25 & 18/05/25 - 20/05/25
