name,city,country,my_rating,comment,dates_stayed,latitude,longitude,google_rating,review_count
Once Again Hostel,Bangkok,Thailand,4,Very clean and tidy but quite quiet. Location was good to explore the old town and popular sites.,31/03/25 - 03/04/25,13.7528871,100.5034105,4.6,895
The Yard Hostel ,Bangkok,Thailand,4,"Cute hostel, very green and comfy beds. Very social and in a cool neighbourhood. Free yoga was very much harder than anticipated!",03/04/25 - 05/04/25,13.7761235,100.5419893,4.7,784
Island Yoga,Ko Yao Noi,Thailand,5,"Stayed in 3 bed female dorms, resort was paradise",05/04/25 - 07/04/25,8.1270726,98.6220122,4.8,195
Mudka Hostel,Ko Yao Noi,Thailand,4,"Lovely cute hostel, although quite basic",07/04/25 - 09/04/25,8.091016,98.61638219999999,4.9,53
Theppahrak Hostel,Khao Lak,Thailand,3,"Average hostel, not social",09/04/25 - 11/04/25,8.6660486,98.2538522,4.7,46
Manta Queen 3,Similan Islands,Thailand,5,I had my own room!,11/04/25 - 14/04/25,8.644973400000001,98.2509724,4.2,33
Raksuan Homestay,Khao Lak,Thailand,5,"So peaceful, listened to the rain & chilled.",15/04/25 - 16/04/25,8.718139599999999,98.2515748,4.9,21
Young Money Hostel,Surat Thani,Thailand,3,Was fine ...,16/04/25 - 17/04/25,9.1219016,99.31077409999999,4.6,59
The lodge Bangkok,Bangkok,Thailand,4,"Nice, quite quiet, only two other people there",17/04/25 - 18/04/25,13.7590345,100.4971682,3.7,2010
Jahoo Camp,Mondulkiri Province,Cambodia,4,"Amazing staff, beautiful nature. Alot of bugs",25/04/25 - 26/04/25,12.3251882,107.0694786,5.0,7
Pida Coffee Farm,Mondulkiri Province,Cambodia,5,"So beautiful, room has a balcony with a view over the jungle!",26/04/25 - 28/04/25,12.5044845,107.1668835,4.7,277
Sorya Guesthouse & Dolphin Tours,Kratie,Cambodia,4,Restaurant / cafe had a lovely sunset view,28/04/25 - 29/04/25,12.4926881,106.0159149,4.8,298
Pomelo Homestay,Kaoh Trong,Cambodia,4,"Very traditional homestay, bucket shower & squat loo but all very beautiful",29/04/25 - 30/04/25,12.4820502,106.0060746,4.8,75
Onederz,Phnom Penh,Cambodia,3,"Nice enough, busy pool, laundry done!",30/04/25 - 03/05/25,11.5730895,104.9283493,4.4,1136
Twizt Hostel & Hotel ,Siem Reap,Cambodia,4,"Nice location, great price. Felt much more like a hotel. Had a rooftop pool/bar. Toilets were far away & I did hear creatures in the ceiling.",19/04/25 - 24/04/25,13.3583451,103.8567491,4.6,1162
Manel Guesthouse,Mondulkiri Province,Cambodia,3,Lovely owners/family. Basic accom,24/04/25 - 25/04/25,12.4587634,107.1975316,4.8,143
Triple Hostel,Ho Chi Min City,Vietnam,2,Nice location & decent bed but not enough toilets,03/05/25 - 05/05/25,10.769396,106.697226,4.8,54
May house dalat,Da Lat,Vietnam,3,Really nice family but a tad expensive,06/05/25 - 07/05/25,11.9418866,108.4558243,4.7,190
Pisces Hotel,Hue,Vietnam,4,Pretty and comfy ,08/05/25 - 10/05/25,16.4722977,107.5960979,4.4,160
Ancient Town Hotel,Hoi An,Vietnam,3,Fab location,10/05/25 - 13/05/25,15.8803935,108.3428235,4.8,1670
Seaside bungalow hostel ,Hoi An,Vietnam,5,I loved the place and the people,13/05/25 - 16/05/25 & 18/05/25 - 20/05/25,15.9253654,108.3201062,4.8,343
Hiep Tung Homestay,Cham Isles,Vietnam,3,"Cheap and basic, nice family",16-05-25 - 18-05-25,15.9327892,108.5276633,4.8,31
Rom Casa Hostel,Da Nang,Vietnam,3,Nice beds but too party,20/05/25 - 22/05/25,16.0485323,108.2466545,4.5,501
Central Backpackers,Phong Nha,Vietnam,3,"Okay, busy but I met some nice people",22/05/25 - 24/05/25,17.6091221,106.313292,4.6,557
